2023-11-07 10:28:55.375 | INFO     | utils.processor:update_metric:227 - train_loss: 0.58
2023-11-07 10:28:59.361 | INFO     | utils.processor:update_metric:227 - train_loss: 0.56
2023-11-07 10:29:09.546 | INFO     | utils.processor:update_metric:227 - train_loss: 0.54
2023-11-07 10:29:19.329 | INFO     | utils.processor:update_metric:227 - train_loss: 0.52
2023-11-07 10:29:23.294 | INFO     | utils.processor:update_metric:227 - train_loss: 0.5
2023-11-07 10:29:33.237 | INFO     | utils.processor:update_metric:227 - train_loss: 0.49
2023-11-07 10:29:42.941 | INFO     | utils.processor:update_metric:227 - train_loss: 0.48
2023-11-07 10:29:46.572 | INFO     | utils.processor:update_metric:227 - train_loss: 0.47
2023-11-07 10:29:56.532 | INFO     | utils.processor:update_metric:227 - train_loss: 0.46
2023-11-07 10:30:06.381 | INFO     | utils.processor:update_metric:227 - train_loss: 0.45
2023-11-07 10:30:10.339 | INFO     | utils.processor:update_metric:227 - train_loss: 0.44
2023-11-07 10:30:33.129 | INFO     | utils.processor:update_metric:227 - train_loss: 0.57
2023-11-07 10:30:36.795 | INFO     | utils.processor:update_metric:227 - train_loss: 0.56
2023-11-07 10:30:46.758 | INFO     | utils.processor:update_metric:227 - train_loss: 0.54
2023-11-07 10:30:56.565 | INFO     | utils.processor:update_metric:227 - train_loss: 0.52
2023-11-07 10:31:00.577 | INFO     | utils.processor:update_metric:227 - train_loss: 0.51
2023-11-07 10:31:10.670 | INFO     | utils.processor:update_metric:227 - train_loss: 0.49
2023-11-07 10:31:20.490 | INFO     | utils.processor:update_metric:227 - train_loss: 0.47
2023-11-07 10:31:24.119 | INFO     | utils.processor:update_metric:227 - train_loss: 0.45
2023-11-07 10:31:34.139 | INFO     | utils.processor:update_metric:227 - train_loss: 0.45
2023-11-07 10:31:43.926 | INFO     | utils.processor:update_metric:227 - train_loss: 0.44
2023-11-07 10:31:47.887 | INFO     | utils.processor:update_metric:227 - train_loss: 0.43
2023-11-07 10:32:10.198 | INFO     | utils.processor:update_metric:227 - train_loss: 0.59
2023-11-07 10:32:14.184 | INFO     | utils.processor:update_metric:227 - train_loss: 0.58
2023-11-07 10:32:24.117 | INFO     | utils.processor:update_metric:227 - train_loss: 0.57
2023-11-07 10:32:33.927 | INFO     | utils.processor:update_metric:227 - train_loss: 0.55
2023-11-07 10:32:37.464 | INFO     | utils.processor:update_metric:227 - train_loss: 0.54
2023-11-07 10:32:47.705 | INFO     | utils.processor:update_metric:227 - train_loss: 0.53
2023-11-07 10:32:57.570 | INFO     | utils.processor:update_metric:227 - train_loss: 0.52
2023-11-07 10:33:01.552 | INFO     | utils.processor:update_metric:227 - train_loss: 0.52
2023-11-07 10:33:11.454 | INFO     | utils.processor:update_metric:227 - train_loss: 0.51
2023-11-07 10:33:21.239 | INFO     | utils.processor:update_metric:227 - train_loss: 0.5
2023-11-07 10:33:25.246 | INFO     | utils.processor:update_metric:227 - train_loss: 0.49
2023-11-07 10:33:40.557 | INFO     | utils.processor:update_metric:227 - train_loss: 0.63
2023-11-07 10:33:44.491 | INFO     | utils.processor:update_metric:227 - train_loss: 0.6
2023-11-07 10:33:54.606 | INFO     | utils.processor:update_metric:227 - train_loss: 0.58
2023-11-07 10:34:04.300 | INFO     | utils.processor:update_metric:227 - train_loss: 0.56
2023-11-07 10:34:08.295 | INFO     | utils.processor:update_metric:227 - train_loss: 0.53
2023-11-07 10:34:18.412 | INFO     | utils.processor:update_metric:227 - train_loss: 0.52
2023-11-07 10:34:28.084 | INFO     | utils.processor:update_metric:227 - train_loss: 0.5
2023-11-07 10:34:31.561 | INFO     | utils.processor:update_metric:227 - train_loss: 0.49
2023-11-07 10:34:41.768 | INFO     | utils.processor:update_metric:227 - train_loss: 0.47
2023-11-07 10:34:51.619 | INFO     | utils.processor:update_metric:227 - train_loss: 0.46
2023-11-07 10:34:55.636 | INFO     | utils.processor:update_metric:227 - train_loss: 0.45
