2023-11-06 17:42:44.384 | INFO     | utils.processor:update_metric:227 - train_loss: 1.16
2023-11-06 17:43:03.149 | INFO     | utils.processor:update_metric:227 - train_loss: 0.21
2023-11-06 17:43:09.222 | INFO     | utils.processor:update_metric:227 - train_loss: 0.1
2023-11-06 17:43:28.536 | INFO     | utils.processor:update_metric:227 - train_loss: 0.07
2023-11-06 17:43:47.440 | INFO     | utils.processor:update_metric:227 - train_loss: 0.06
2023-11-06 17:43:53.525 | INFO     | utils.processor:update_metric:227 - train_loss: 0.05
2023-11-06 17:44:12.599 | INFO     | utils.processor:update_metric:227 - train_loss: 0.05
2023-11-06 17:44:24.375 | INFO     | utils.processor:update_metric:227 - train_loss: 0.04
2023-11-06 17:44:30.385 | INFO     | utils.processor:update_metric:227 - train_loss: 0.03
2023-11-06 17:44:41.768 | INFO     | utils.processor:update_metric:227 - train_loss: 0.03
2023-11-06 17:44:47.793 | INFO     | utils.processor:update_metric:227 - train_loss: 0.03
2023-11-06 17:44:59.993 | INFO     | utils.processor:update_metric:227 - train_loss: 0.03
2023-11-06 17:45:18.804 | INFO     | utils.processor:update_metric:227 - train_loss: 0.03
2023-11-06 17:45:24.864 | INFO     | utils.processor:update_metric:227 - train_loss: 0.03
2023-11-06 17:45:36.831 | INFO     | utils.processor:update_metric:227 - train_loss: 0.02
2023-11-06 17:45:48.550 | INFO     | utils.processor:update_metric:227 - train_loss: 0.02
2023-11-06 17:45:54.565 | INFO     | utils.processor:update_metric:227 - train_loss: 0.02
2023-11-06 17:46:06.089 | INFO     | utils.processor:update_metric:227 - train_loss: 0.02
2023-11-06 17:46:12.252 | INFO     | utils.processor:update_metric:227 - train_loss: 0.02
2023-11-06 17:46:24.527 | INFO     | utils.processor:update_metric:227 - train_loss: 0.01
2023-11-06 17:46:36.161 | INFO     | utils.processor:update_metric:227 - train_loss: 0.01
2023-11-06 17:46:42.203 | INFO     | utils.processor:update_metric:227 - train_loss: 0.01
2023-11-06 17:46:54.376 | INFO     | utils.processor:update_metric:227 - train_loss: 0.01
